date,Red1a,Red1b,Red2a,Red2d,Red3a,Red3b,Red4a,Red4b,Red5a,Red5b,Red6a,Red6b,RedSum16a,RedSum16b,RedGap16a,RedGap16b,RedSum25a,RedSum25b,RedGap25a,RedGap25b,RedSum34a,RedSum34b,RedGap12a,RedGap12b,RedGap23a,RedGap23b,RedGap34a,RedGap34b,RedGap45a,RedGap45b,RedGap56a,RedGap56b,RedSum_a,RedSum_b,RedBluea,RedBlueb
20240806,1/6, 1/4,1/4, 1/3,0/3, 1/12,0/2, 1/6,1/13, 1/4,0/5, 1/7,0/4, 0/2,0/4, 1/9,0/8, 1/12,0/3, 0/1,0/7, 1/20,1/3, 1/2,0/3, 1/3,0/4, 1/10,0/3, 0/2,1/8, 1/9,1/25, 1/30,0/6, 1/4
20240804,0/3, 1/6,0/3, 0/4,1/8, 1/10,0/1, 1/7,0/8, 1/7,1/2, 1/7,0/1, 1/6,0/6, 1/6,0/7, 0/1,1/6, 1/1,0/11, 0/2,0/2, 1/1,1/3, 1/7,0/2, 1/5,1/4, 1/3,0/5, 0/0,0/38, 0/17,0/5, 1/9
20240801,1/3, 1/4,0/2, 1/4,0/4, 0/2,0/2, 1/9,0/3, 1/5,0/3, 1/7,0/5, 1/18,1/5, 1/2,0/13, 0/4,0/6, 1/7,0/6, 1/11,1/2, 1/6,0/5, 0/2,0/4, 1/6,0/4, 0/8,0/1, 1/8,0/23, 1/23,1/4, 1/9
20240730,0/4, 1/12,1/9, 1/2,1/4, 1/10,0/2, 1/11,0/1, 0/9,0/3, 0/0,1/16, 1/3,0/8, 0/0,1/16, 1/5,0/6, 0/6,1/9, 1/2,0/4, 0/3,0/4, 1/8,0/1, 1/9,0/4, 1/8,1/3, 1/0,0/31, 1/22,0/9, 1/4
20240728,0/6, 0/8,0/6, 0/4,0/1, 1/8,0/5, 1/11,1/4, 0/6,1/8, 1/0,0/8, 0/12,0/1, 0/8,0/7, 1/17,0/3, 0/6,0/3, 0/19,0/2, 0/4,0/3, 1/9,0/1, 1/5,1/6, 1/0,0/2, 1/4,0/33, 0/5,0/5, 1/15
20240725,1/4, 1/8,0/1, 1/6,1/6, 1/10,0/1, 0/7,0/5, 1/5,0/1, 1/9,0/1, 0/4,0/7, 1/7,0/8, 1/11,0/1, 0/7,1/11, 1/17,0/2, 1/6,0/4, 0/4,0/3, 1/1,1/5, 0/0,0/5, 0/6,0/17, 1/17,0/8, 0/11
20240723,0/2, 0/3,1/5, 1/7,0/1, 0/5,0/2, 1/8,0/4, 1/14,0/9, 1/5,1/5, 1/6,1/13, 1/3,0/4, 1/13,0/6, 1/7,1/15, 0/7,1/5, 1/4,0/3, 0/1,0/10, 1/8,0/3, 1/7,0/3, 0/3,0/3, 0/23,0/10, 1/10
20240721,1/5, 1/7,1/6, 0/8,1/2, 1/4,0/3, 0/11,1/14, 1/3,0/2, 1/7,0/5, 1/9,1/5, 1/0,0/11, 1/22,0/3, 1/16,0/11, 0/2,1/10, 1/3,0/12, 1/3,0/2, 0/7,1/6, 1/2,1/3, 1/4,0/8, 1/53,0/6, 0/4
20240718,1/2, 1/3,0/6, 0/7,1/4, 1/4,0/3, 1/9,0/4, 0/1,1/7, 1/3,0/10, 0/0,0/5, 1/8,0/11, 0/10,1/4, 1/8,1/3, 1/28,0/3, 0/11,0/2, 0/5,1/3, 1/7,0/3, 0/1,0/4, 1/10,0/17, 1/34,1/10, 0/3
20240716,0/4, 0/2,0/2, 0/2,1/6, 1/8,0/2, 0/16,0/6, 0/0,0/1, 0/3,0/8, 0/1,0/3, 1/12,0/7, 0/13,1/5, 1/8,0/4, 1/24,1/1, 1/3,0/2, 0/8,0/3, 1/5,0/3, 0/5,1/5, 1/14,0/14, 0/10,0/9, 1/10
20240714,0/4, 0/5,0/6, 1/7,0/6, 0/5,0/11, 0/4,0/10, 0/2,1/5, 1/5,1/7, 0/3,0/3, 0/3,1/18, 1/9,0/2, 1/11,1/10, 0/14,0/3, 1/3,0/3, 0/1,0/4, 0/2,0/5, 0/7,0/2, 0/7,0/22, 1/17,0/5, 1/9
20240711,1/4, 1/4,0/4, 0/2,0/3, 1/8,0/7, 1/3,0/3, 1/7,1/1, 1/2,0/3, 1/5,1/4, 1/11,0/3, 1/11,1/1, 1/4,0/4, 1/23,0/1, 0/2,0/1, 1/2,0/5, 0/0,1/9, 1/3,0/5, 1/9,0/9, 0/19,1/8, 1/5
20240709,1/3, 0/6,1/9, 1/6,0/3, 1/13,1/10, 1/5,1/9, 1/9,1/6, 1/7,1/8, 0/6,0/3, 0/4,1/14, 1/4,1/3, 1/3,0/11, 1/11,1/3, 1/8,1/7, 1/5,0/4, 1/7,0/4, 0/1,0/1, 1/7,0/13, 0/11,0/4, 1/10
20240707,0/3, 1/6,1/11, 1/3,1/7, 1/10,1/10, 1/10,0/7, 0/2,0/4, 0/4,0/5, 1/12,0/5, 1/12,1/11, 1/7,1/7, 1/8,1/7, 1/11,0/4, 1/5,1/3, 1/5,0/3, 0/1,1/4, 1/1,1/3, 1/1,0/17, 1/38,0/6, 1/7
20240704,1/4, 1/5,0/4, 0/1,0/4, 0/7,0/3, 0/3,0/2, 0/5,0/2, 0/3,0/3, 1/4,0/2, 0/12,0/5, 0/9,0/2, 0/7,0/11, 0/4,0/1, 0/3,1/5, 1/6,1/8, 0/6,0/3, 1/7,1/3, 1/3,0/14, 0/40,0/7, 1/4
20240702,1/3, 0/6,0/2, 1/2,0/5, 0/1,1/8, 1/1,0/1, 1/12,1/2, 1/10,1/12, 0/8,0/1, 1/8,0/1, 1/12,1/5, 1/12,0/2, 1/7,1/2, 0/7,1/5, 0/6,0/6, 1/10,0/4, 1/5,1/8, 1/0,0/9, 0/16,0/3, 0/8
20240630,0/2, 1/6,1/3, 1/4,0/2, 0/1,0/1, 0/6,1/8, 1/3,0/2, 0/3,0/3, 0/2,1/6, 1/0,1/11, 1/14,0/3, 1/15,0/1, 1/6,0/5, 1/6,0/5, 1/5,0/3, 0/1,0/5, 0/1,0/6, 0/4,1/6, 1/6,0/4, 1/13
20240627,1/5, 1/6,1/8, 0/7,0/13, 0/3,1/4, 1/8,0/1, 1/12,0/3, 1/1,0/4, 1/4,0/3, 1/15,1/3, 1/17,0/4, 1/14,1/10, 1/22,0/4, 0/5,0/1, 0/2,0/4, 1/2,0/4, 0/4,0/1, 0/2,0/9, 1/9,0/7, 0/4
20240625,0/4, 0/1,0/1, 1/14,0/9, 0/0,0/7, 1/12,1/13, 0/6,0/3, 1/6,0/6, 1/13,0/10, 0/2,1/10, 1/1,1/4, 0/6,0/9, 0/10,0/4, 0/4,0/4, 0/1,0/7, 1/6,0/2, 1/9,1/4, 1/0,1/20, 1/10,0/4, 1/10
20240623,0/1, 0/7,1/4, 1/8,0/8, 0/1,0/2, 0/10,0/3, 1/9,0/2, 0/1,1/2, 1/10,0/2, 1/3,0/4, 0/0,0/6, 0/8,0/3, 0/9,1/3, 1/6,0/1, 1/9,0/3, 0/2,1/4, 1/7,0/4, 1/6,0/16, 0/8,1/7, 1/5
20240620,1/3, 1/10,0/3, 1/3,1/5, 1/8,1/3, 1/3,0/3, 1/11,0/7, 0/0,0/4, 1/12,0/3, 0/1,1/3, 1/5,0/5, 1/7,1/4, 1/17,0/2, 0/1,1/4, 1/2,1/3, 1/8,0/3, 0/3,0/7, 1/5,0/9, 0/2,1/7, 1/5
20240618,1/6, 1/10,1/7, 1/2,1/9, 1/7,1/3, 0/9,0/8, 1/5,1/9, 1/0,0/4, 1/17,0/6, 0/4,0/4, 1/3,0/4, 0/3,0/11, 1/12,0/4, 1/6,0/2, 0/1,1/5, 1/8,1/6, 1/1,0/4, 0/4,1/19, 1/14,0/11, 1/7
20240616,1/4, 1/1,0/2, 0/1,0/4, 0/3,1/5, 1/11,0/1, 1/10,0/2, 0/3,0/4, 0/3,0/4, 0/1,0/2, 0/5,0/3, 1/5,0/2, 0/7,0/5, 0/5,1/4, 1/11,0/2, 0/8,0/3, 0/4,0/1, 1/5,0/12, 0/10,0/11, 0/5
20240613,1/6, 1/1,0/2, 0/5,1/5, 1/0,0/3, 1/13,1/4, 1/1,1/5, 1/1,0/14, 1/4,0/1, 1/8,1/3, 1/11,1/4, 1/1,0/1, 0/4,0/7, 1/9,0/2, 1/14,1/4, 1/4,0/1, 1/7,1/5, 1/6,0/1, 0/21,0/8, 1/7
20240611,0/1, 0/2,0/4, 1/10,0/2, 0/10,0/4, 1/17,1/9, 1/3,1/9, 1/7,1/14, 1/7,0/12, 1/4,1/14, 0/4,0/3, 1/6,1/16, 1/18,0/7, 1/10,0/2, 1/14,0/4, 0/3,0/2, 0/4,0/2, 1/4,0/6, 0/29,0/9, 0/2
20240609,1/4, 1/5,0/3, 0/2,0/1, 0/5,0/1, 0/12,0/5, 1/7,0/1, 0/5,0/9, 0/0,0/1, 0/10,0/5, 0/11,1/5, 1/3,0/7, 0/16,0/3, 1/3,0/2, 1/11,1/8, 1/4,0/3, 0/4,1/2, 1/5,0/17, 0/32,0/4, 1/8
20240606,1/6, 1/5,0/4, 1/4,0/3, 0/4,0/3, 0/2,0/4, 1/12,1/6, 1/6,1/5, 1/9,0/5, 1/7,1/8, 1/6,0/1, 0/5,1/4, 1/6,0/2, 0/6,0/3, 1/12,0/3, 0/1,0/3, 0/4,0/1, 1/4,1/28, 1/4,1/3, 1/14
20240604,0/5, 1/8,1/8, 1/8,0/6, 0/6,0/2, 1/8,1/11, 1/4,0/3, 0/1,1/12, 1/7,0/2, 1/12,0/8, 1/17,0/4, 1/3,0/10, 0/13,0/1, 1/7,0/1, 1/11,0/1, 1/8,1/4, 1/4,1/8, 1/4,0/13, 1/34,0/5, 1/13
20240602,0/4, 0/5,0/1, 1/8,0/1, 0/5,0/3, 0/15,0/2, 0/11,0/3, 0/0,0/5, 1/11,0/4, 1/9,0/1, 0/4,0/3, 1/15,0/3, 0/3,1/3, 1/8,0/2, 1/12,0/3, 1/3,1/4, 1/1,0/2, 0/3,0/7, 0/34,1/4, 1/10
20240530,0/6, 1/6,1/8, 1/12,0/6, 1/4,0/2, 1/18,1/6, 1/2,1/4, 1/1,1/8, 1/4,0/5, 1/5,1/7, 0/10,0/5, 1/15,0/4, 1/30,0/7, 1/3,0/3, 1/9,1/1, 1/5,1/8, 1/3,0/2, 1/6,0/16, 0/10,1/6, 1/11
20240528,1/4, 1/4,0/5, 1/9,0/2, 0/1,0/5, 0/4,0/4, 1/6,1/6, 1/1,0/2, 0/3,1/12, 1/6,0/4, 1/14,0/13, 1/11,0/7, 0/2,0/5, 0/0,1/9, 0/3,1/4, 0/5,0/2, 0/2,0/3, 1/6,0/9, 0/15,0/4, 0/6
20240526,1/4, 1/3,0/7, 1/5,0/1, 1/6,0/2, 0/4,0/5, 0/10,0/4, 0/6,1/12, 1/1,0/5, 0/7,1/18, 1/2,0/3, 0/9,0/2, 0/7,0/1, 1/4,0/4, 1/9,0/4, 0/1,1/4, 0/4,1/2, 1/15,0/8, 1/9,1/8, 1/0
20240523,0/3, 0/2,0/3, 0/1,1/8, 1/4,1/3, 1/10,0/2, 1/4,1/6, 1/7,0/3, 0/3,0/2, 1/11,0/2, 0/14,1/3, 1/8,0/8, 1/13,1/2, 1/3,0/7, 0/0,1/4, 1/4,0/1, 1/5,1/8, 1/4,1/11, 1/32,0/2, 1/6
20240521,1/3, 1/5,0/8, 1/1,1/9, 1/8,0/9, 1/8,1/4, 1/2,0/2, 1/7,0/2, 1/19,1/6, 0/5,0/7, 1/19,1/8, 1/8,0/4, 0/20,1/5, 1/2,0/3, 0/3,0/1, 0/1,1/5, 1/10,0/4, 1/7,0/13, 1/59,1/5, 1/4
20240519,0/2, 1/6,0/6, 0/5,0/7, 1/4,0/13, 1/11,0/8, 1/9,0/2, 1/9,1/3, 1/10,0/4, 0/1,1/17, 1/8,0/7, 0/5,0/10, 0/23,0/5, 0/0,1/6, 1/6,1/6, 1/0,0/2, 0/4,0/5, 1/13,0/21, 1/38,0/8, 1/5
20240516,1/4, 1/4,1/9, 1/5,0/3, 1/5,0/4, 0/9,0/9, 0/6,0/9, 1/4,1/5, 0/13,0/2, 1/7,1/9, 1/17,0/1, 0/7,0/11, 0/20,0/2, 0/3,0/2, 1/4,0/3, 0/1,0/1, 1/9,0/6, 0/2,0/13, 0/48,1/10, 1/2
20240514,0/6, 1/11,1/5, 1/12,1/9, 1/6,1/11, 0/3,0/3, 0/6,0/1, 0/8,1/8, 1/3,0/5, 1/9,0/6, 1/19,0/2, 1/4,0/8, 1/20,1/5, 1/5,1/2, 1/2,0/5, 1/6,1/2, 1/10,0/3, 1/11,0/6, 0/29,0/3, 0/4
20240512,0/5, 1/4,0/3, 0/7,0/5, 1/8,1/9, 0/0,1/11, 1/6,1/4, 1/10,0/7, 0/6,0/5, 0/5,1/13, 1/0,0/10, 1/9,1/15, 1/5,1/4, 0/1,0/8, 0/4,0/1, 0/7,0/2, 0/6,0/4, 1/7,0/22, 1/20,1/6, 1/7
20240509,0/2, 0/8,1/2, 1/6,0/3, 0/3,0/1, 0/9,0/5, 0/0,0/2, 0/2,0/1, 0/5,0/3, 0/5,0/5, 0/7,0/2, 0/3,1/14, 0/0,0/2, 0/4,0/2, 0/5,0/3, 1/5,0/2, 0/1,1/3, 1/7,0/8, 0/32,0/5, 0/1
20240507,1/5, 0/5,1/9, 1/10,0/5, 1/11,1/6, 0/15,1/3, 1/5,0/10, 1/2,0/2, 1/6,1/5, 1/10,0/7, 1/16,1/8, 1/0,0/5, 1/30,1/2, 0/7,1/1, 1/2,0/2, 0/3,0/1, 1/7,0/7, 0/0,0/5, 1/44,0/6, 1/7
20240505,1/3, 1/10,0/6, 0/2,0/4, 0/2,0/7, 0/4,0/6, 1/6,0/4, 1/10,0/8, 0/4,0/2, 0/7,1/8, 1/15,0/4, 0/6,0/11, 0/13,0/1, 0/2,1/3, 1/1,0/2, 1/4,0/2, 0/2,0/2, 1/13,1/26, 1/32,0/4, 1/7
20240502,0/8, 1/4,0/1, 0/3,0/3, 0/1,0/1, 1/11,0/5, 1/2,0/1, 1/11,0/3, 0/15,0/3, 0/3,0/5, 0/8,0/6, 1/8,0/1, 0/6,0/3, 1/13,0/5, 0/2,0/1, 0/3,0/1, 1/11,1/4, 1/6,0/1, 0/7,0/7, 1/6
20240430,0/2, 1/7,0/1, 1/3,1/9, 1/7,1/9, 0/7,0/2, 1/9,0/2, 1/2,0/2, 0/3,0/1, 0/3,1/3, 1/17,1/13, 1/2,0/15, 1/14,0/4, 0/7,1/10, 1/7,0/2, 1/4,1/5, 1/6,1/5, 1/7,0/22, 0/18,1/10, 1/0
20240428,0/2, 0/2,1/3, 1/2,0/4, 1/10,1/9, 1/1,0/1, 0/5,1/3, 1/6,1/8, 1/8,0/4, 0/7,0/7, 1/17,0/4, 0/2,0/10, 0/14,0/1, 0/2,0/2, 0/0,0/8, 1/4,0/1, 1/11,1/7, 1/0,0/16, 1/17,0/9, 1/8
20240425,1/4, 1/1,0/6, 1/7,0/4, 1/7,0/6, 0/7,0/2, 1/12,0/3, 1/6,0/9, 1/4,0/4, 1/3,0/2, 0/1,0/4, 1/13,0/9, 0/4,0/2, 1/10,1/7, 0/6,0/1, 0/5,1/3, 1/5,0/4, 1/8,0/11, 0/28,1/8, 1/8
20240423,1/2, 1/2,1/5, 1/8,0/3, 0/3,1/8, 1/3,0/1, 1/12,0/5, 1/6,0/1, 0/7,0/9, 0/5,0/1, 1/16,1/5, 1/17,1/14, 1/4,0/1, 1/4,0/9, 1/5,0/3, 0/2,1/2, 1/6,0/4, 1/6,0/4, 0/28,0/2, 0/3
20240421,0/1, 1/4,1/1, 1/4,1/4, 1/12,0/4, 1/8,0/5, 0/11,1/6, 1/0,1/4, 1/8,1/6, 0/7,1/7, 1/12,0/12, 0/3,0/11, 1/16,1/5, 1/7,0/4, 0/7,0/4, 1/3,0/2, 1/10,0/6, 1/5,1/10, 1/6,1/3, 1/10
20240418,0/4, 1/7,1/7, 1/9,0/4, 1/13,0/3, 1/5,0/3, 1/13,1/8, 1/9,0/4, 1/17,0/3, 1/8,0/1, 0/7,0/2, 1/14,1/17, 1/12,1/3, 1/7,1/5, 1/2,1/5, 1/2,1/9, 1/7,0/3, 1/8,0/19, 0/0,1/6, 0/1
20240416,1/1, 1/9,0/4, 0/4,0/2, 0/5,0/4, 0/6,0/3, 0/1,1/7, 1/12,0/9, 1/8,1/9, 1/10,1/9, 1/11,0/2, 0/16,0/9, 1/21,1/5, 1/6,0/2, 0/6,1/6, 1/6,0/3, 0/7,1/7, 1/7,0/9, 0/10,1/8, 1/7
20240414,0/5, 1/6,1/5, 1/9,0/7, 1/7,0/4, 0/7,0/2, 0/2,0/1, 0/2,0/2, 0/7,1/8, 1/0,1/12, 1/10,0/5, 1/11,1/18, 1/0,0/4, 0/1,0/1, 0/4,0/5, 0/3,0/2, 1/6,0/3, 1/6,0/13, 1/31,1/11, 1/2
20240411,0/3, 1/9,1/8, 1/7,0/4, 1/5,0/4, 1/17,1/9, 0/7,0/2, 1/5,0/3, 1/5,0/9, 0/4,1/5, 1/5,1/4, 1/15,0/3, 1/12,0/3, 0/5,1/5, 1/0,1/5, 1/15,1/5, 1/1,0/5, 1/2,1/5, 1/50,0/3, 0/4
20240409,0/6, 0/3,0/1, 1/6,0/2, 1/12,0/7, 0/6,0/7, 0/1,1/3, 1/9,1/7, 1/13,0/2, 1/4,1/8, 1/4,0/3, 0/5,1/15, 1/8,0/4, 1/5,1/5, 1/0,0/1, 0/7,0/2, 0/1,0/1, 1/7,1/19, 1/47,1/6, 1/2
20240407,1/4, 0/3,1/6, 1/8,0/4, 1/15,0/5, 1/17,0/9, 1/2,1/8, 1/14,1/6, 1/3,0/9, 0/2,1/13, 1/2,0/9, 1/8,1/8, 1/30,0/3, 0/1,1/7, 1/7,0/4, 1/9,0/2, 1/3,0/2, 1/6,0/11, 1/84,1/10, 1/2
20240404,0/2, 1/9,0/2, 1/3,0/4, 0/8,0/6, 0/7,0/4, 0/1,0/8, 0/5,0/5, 0/2,0/5, 0/5,0/4, 0/6,0/3, 1/4,0/14, 0/7,0/3, 1/1,1/6, 1/7,0/1, 1/9,1/6, 1/5,1/3, 1/10,0/14, 0/20,1/12, 1/6
20240402,0/1, 1/12,0/5, 1/5,0/2, 1/10,0/4, 0/7,0/2, 1/10,1/5, 1/7,1/7, 1/2,1/4, 0/7,1/8, 1/8,0/1, 1/4,0/4, 0/11,0/4, 1/7,0/2, 0/2,1/2, 1/1,0/1, 0/5,0/4, 1/10,0/16, 0/7,0/4, 0/7
20240331,0/2, 1/12,1/2, 1/2,0/2, 1/1,1/4, 1/5,1/2, 1/12,1/9, 1/4,0/6, 0/4,0/5, 1/7,0/5, 1/14,1/4, 1/11,1/4, 1/16,0/3, 0/1,0/4, 1/4,1/5, 1/5,1/7, 1/4,0/6, 1/7,1/6, 1/14,1/7, 1/2
20240328,0/2, 1/10,1/2, 1/8,1/3, 1/1,0/2, 1/5,1/7, 1/0,1/7, 1/1,0/4, 1/15,0/3, 0/1,1/13, 1/2,0/5, 1/9,1/3, 1/6,0/1, 1/4,1/5, 1/8,1/2, 1/3,0/4, 1/3,0/4, 0/7,0/5, 1/29,0/5, 1/5
20240326,0/3, 1/8,1/9, 1/3,0/5, 1/11,1/8, 0/0,0/2, 1/16,1/6, 1/8,1/9, 1/7,0/3, 1/4,1/14, 1/4,1/7, 1/9,0/8, 0/13,1/5, 1/0,1/3, 1/7,1/2, 1/3,0/7, 0/0,0/5, 0/6,0/10, 1/25,0/4, 1/10
20240324,1/3, 1/8,1/9, 1/5,0/5, 0/4,1/8, 1/1,0/5, 0/12,1/6, 1/7,0/7, 0/2,0/2, 0/4,0/16, 0/1,0/6, 1/11,1/10, 1/17,0/1, 1/3,0/2, 0/2,0/5, 1/7,0/4, 1/11,0/6, 0/1,0/22, 0/24,0/3, 0/10
20240321,0/3, 0/7,0/1, 1/5,0/6, 1/14,0/11, 0/0,0/3, 1/9,0/6, 1/4,0/2, 0/4,1/6, 1/7,0/7, 0/10,0/8, 0/4,0/13, 1/22,0/3, 1/7,0/5, 1/12,0/4, 0/0,0/3, 1/1,0/2, 1/8,0/14, 1/18,0/5, 0/7
20240319,1/5, 1/10,1/10, 0/1,0/7, 1/11,0/3, 1/13,0/4, 1/8,0/4, 1/7,1/7, 1/3,0/6, 1/5,0/3, 1/19,1/11, 1/3,0/11, 1/19,0/1, 1/3,0/1, 0/7,1/5, 1/5,0/5, 1/6,1/3, 1/6,0/3, 1/50,1/9, 1/2
20240317,0/2, 0/1,0/5, 0/0,0/6, 0/8,1/11, 1/5,0/7, 1/9,1/4, 0/14,0/4, 0/5,0/4, 1/13,1/16, 1/7,1/7, 1/4,0/19, 0/11,0/1, 1/4,1/4, 1/2,0/2, 0/1,0/2, 1/9,0/4, 1/8,0/9, 0/51,0/4, 1/3
20240314,1/2, 1/1,1/3, 1/2,0/1, 0/9,0/8, 1/12,0/5, 0/6,0/2, 0/2,0/4, 0/8,0/5, 0/0,0/2, 0/2,0/7, 0/1,0/9, 1/16,1/2, 1/4,0/4, 0/2,1/6, 1/1,1/4, 1/11,0/4, 1/7,0/6, 0/27,1/9, 0/6
20240312,0/1, 0/4,0/7, 0/0,1/7, 1/7,0/1, 0/5,0/7, 1/6,1/6, 1/6,1/8, 1/0,1/11, 1/1,1/9, 1/2,0/4, 1/11,0/12, 1/15,1/2, 1/1,0/7, 1/7,0/4, 0/1,0/3, 0/5,0/1, 1/6,1/19, 1/6,0/2, 1/8
20240310,0/5, 0/0,1/9, 1/7,0/6, 1/10,1/7, 1/1,0/5, 1/11,0/6, 1/5,1/9, 0/4,0/1, 0/5,0/13, 1/8,1/7, 1/0,0/7, 1/20,1/7, 1/3,0/3, 0/1,1/5, 1/6,0/2, 0/3,1/5, 1/7,0/39, 0/19,1/8, 1/5
20240307,0/1, 0/7,0/2, 0/6,0/7, 1/11,0/5, 1/9,1/3, 1/3,0/2, 1/4,0/2, 0/3,0/3, 0/8,0/3, 0/14,0/6, 1/6,0/16, 1/15,0/2, 0/1,0/5, 1/11,0/1, 0/3,1/4, 1/2,1/4, 1/8,0/16, 0/31,0/6, 0/6
20240305,1/4, 1/2,0/4, 1/2,0/5, 1/12,0/5, 0/4,1/10, 1/5,1/10, 1/1,1/2, 1/4,1/13, 1/3,0/5, 1/14,0/8, 0/0,0/10, 1/16,0/7, 1/2,0/6, 0/8,1/2, 1/4,0/3, 0/1,1/4, 1/2,1/15, 0/12,1/2, 1/11
20240303,0/4, 0/4,1/3, 1/3,0/4, 0/2,1/4, 1/8,0/7, 1/4,0/5, 1/5,1/5, 1/5,0/1, 1/6,0/8, 1/10,1/3, 0/5,1/13, 1/8,0/5, 1/4,0/9, 1/7,1/2, 1/5,0/1, 1/3,1/5, 0/5,0/14, 1/35,0/1, 0/5
20240229,0/2, 1/6,1/5, 1/1,0/1, 1/6,1/10, 1/1,0/3, 0/7,1/9, 1/3,1/7, 1/8,1/12, 0/1,0/8, 1/11,0/1, 0/5,0/4, 1/11,0/7, 0/0,0/1, 1/10,1/3, 1/11,0/1, 1/3,0/4, 1/6,0/25, 0/36,1/4, 1/8
20240227,0/1, 1/5,0/1, 0/7,1/8, 1/7,0/7, 1/6,0/5, 1/11,0/3, 0/2,0/5, 1/13,0/3, 1/9,1/16, 1/6,1/5, 1/11,0/7, 1/14,0/1, 0/3,1/3, 1/7,0/3, 1/10,0/1, 1/11,0/3, 1/3,0/23, 1/21,0/3, 0/1
20240225,0/1, 1/3,1/5, 1/7,1/3, 1/6,0/2, 1/8,0/6, 1/5,1/8, 1/0,1/8, 1/10,0/6, 0/10,1/9, 0/1,0/5, 0/4,0/4, 0/3,1/3, 1/8,0/5, 1/9,0/1, 0/6,1/5, 1/6,0/4, 0/3,1/35, 0/18,1/1, 1/2
20240222,1/5, 1/0,0/5, 1/10,1/4, 1/8,1/4, 1/4,0/4, 1/4,0/1, 0/3,0/5, 0/2,0/5, 0/0,1/8, 0/0,0/5, 0/2,1/13, 0/0,0/1, 0/3,0/7, 1/4,0/1, 1/7,0/4, 0/2,0/6, 1/8,1/22, 1/6,1/12, 1/7
20240220,0/2, 0/1,0/5, 0/2,0/3, 0/4,0/6, 0/3,0/3, 0/2,0/8, 1/4,1/9, 1/6,0/5, 0/8,1/8, 1/14,0/3, 1/12,0/8, 0/10,0/5, 0/3,1/5, 1/5,0/6, 1/5,0/3, 0/1,0/2, 0/6,0/15, 1/48,0/9, 0/4
20240218,1/5, 1/0,0/6, 0/4,0/7, 0/3,1/6, 0/1,1/7, 1/4,1/5, 1/7,0/6, 1/9,0/3, 0/4,0/4, 1/16,0/2, 0/11,0/7, 0/4,0/3, 0/1,0/1, 1/7,0/2, 1/6,0/5, 1/4,0/2, 1/5,0/23, 0/19,1/4, 1/11
20240206,0/3, 1/5,0/2, 1/4,0/3, 0/3,0/4, 1/3,0/2, 0/4,0/1, 0/3,0/2, 0/5,0/2, 1/7,0/8, 0/8,1/3, 0/6,0/4, 0/6,1/2, 1/6,1/7, 1/0,1/9, 1/4,0/4, 1/10,0/3, 1/9,0/11, 0/8,1/13, 1/5
20240204,0/2, 1/7,0/8, 1/7,1/5, 1/10,0/4, 1/7,0/3, 0/2,1/4, 0/3,1/3, 0/5,0/4, 1/7,0/4, 0/8,1/4, 1/6,1/10, 1/8,1/3, 0/5,0/1, 1/14,1/10, 1/4,0/1, 1/3,0/5, 0/0,0/15, 1/31,0/7, 0/6
