Date,P1,P2,P3,P4,P5,P6,P7
20210615,2,1,1,3,2,39,9
20210617,0,1,1,2,4,64,-1
20210620,2,2,2,2,2,12,-1
20210622,0,1,1,1,2,7,8
20210624,0,1,1,2,2,46,6
20210627,1,0,0,0,0,11,-1
20210629,2,0,2,1,2,25,-1
20210701,0,1,0,0,0,2,-1
20210704,2,1,2,2,2,9,-1
20210706,1,0,0,3,1,225,-1
20210708,1,1,2,2,2,59,5
20210711,0,1,0,1,0,45,4
20210713,0,2,0,0,1,20,-1
20210715,1,1,1,1,2,24,3
20210718,0,2,1,2,1,10,6
20210720,1,2,1,1,2,31,1
20210722,2,3,2,2,3,34,-1
20210725,1,2,0,2,2,11,-1
20210727,1,3,1,1,2,35,-1
20210729,0,1,1,1,1,16,8
20210801,0,2,0,0,1,8,-1
20210803,0,3,2,0,3,0,-1
20210805,1,1,1,1,2,9,3
20210808,2,2,1,2,2,15,-1
20210810,3,1,0,1,1,81,-1
20210812,2,1,1,2,4,188,-1
20210815,0,0,1,1,0,15,4
20210817,0,1,1,2,3,26,-1
20210819,2,1,2,2,2,5,-1
20210822,0,0,1,1,1,42,2
20210824,1,2,0,0,1,37,7
20210826,3,2,2,2,2,29,-1
20210829,1,0,1,0,1,3,2
20210831,2,1,1,1,2,18,1
20210902,3,2,1,2,4,56,-1
20210905,1,1,3,1,3,334,-1
20210907,1,3,2,3,2,2,-1
20210909,1,1,3,2,1,19,-1
20210912,0,2,0,2,1,73,-1
20210914,0,1,1,2,1,20,8
20210916,0,1,2,1,0,10,7
20210919,2,2,2,2,3,10,-1
20210921,0,2,0,0,2,390,-1
20210923,0,0,3,0,1,23,-1
20210926,1,1,0,3,0,35,-1
20210928,1,1,0,2,2,31,6
20210930,1,2,1,1,1,24,3
20211005,2,4,1,1,3,52,-1
20211007,1,3,1,3,2,1,-1
20211010,2,0,2,3,3,69,-1
20211012,2,0,2,1,0,12,-1
20211014,0,2,1,0,0,8,-1
20211017,1,1,1,0,1,13,8
20211019,3,3,1,3,1,151,-1
20211021,2,1,1,1,1,8,3
20211024,3,3,2,2,2,39,-1
20211026,2,3,1,2,2,28,-1
20211028,1,3,3,0,2,97,-1
20211031,2,2,2,0,1,41,-1
20211102,3,3,3,3,1,669,-1
20211104,1,1,1,0,2,8,8
20211107,0,0,1,0,1,35,4
20211109,1,0,0,2,2,12,-1
20211111,0,2,2,1,1,18,6
20211114,2,3,0,2,1,6,-1
20211116,2,1,1,0,1,5,8
20211118,0,3,2,1,1,39,-1
20211121,2,1,0,2,1,4,6
20211123,3,1,1,1,1,139,-1
20211125,1,0,2,0,3,7,-1
20211128,2,2,2,2,2,29,-1
20211130,1,1,2,2,2,61,5
20211202,1,0,2,1,1,7,8
20211205,4,4,2,0,2,0,-1
20211207,2,1,1,2,1,41,1
20211209,2,0,1,1,1,3,8
20211212,1,2,3,1,2,76,9
20211214,1,1,2,0,3,11,-1
20211216,1,1,1,1,2,24,3
20211219,1,1,1,4,1,11,-1
20211221,1,0,1,2,1,5,8
20211223,1,1,1,2,1,3,3
20211226,2,0,1,0,0,31,-1
20211228,1,0,2,2,3,19,-1
20211230,0,1,2,0,1,44,7
20220102,0,1,0,1,1,53,2
20220104,1,1,0,1,0,1,2
20220106,0,1,0,2,3,18,-1
20220109,1,2,1,2,3,12,9
20220111,0,1,1,1,1,9,8
20220113,0,0,1,0,2,8,-1
20220116,2,1,1,1,1,10,3
20220118,1,1,1,1,2,1,3
20220120,3,2,2,2,1,37,-1
20220123,1,0,0,0,0,87,-1
20220125,0,0,1,1,2,11,7
20220127,3,3,3,4,1,37,-1
20220208,1,3,2,2,3,61,-1
20220210,1,2,3,1,3,50,-1
20220213,1,2,0,1,2,32,6
20220215,4,2,2,2,2,30,-1
20220217,2,1,1,3,2,13,9
20220220,1,2,1,1,1,10,3
20220222,1,2,1,1,1,1,3
20220224,2,1,2,1,1,30,1
20220227,0,1,1,0,1,19,2
20220301,2,0,1,2,2,23,-1
20220303,0,1,2,1,1,18,8
20220306,1,2,2,1,4,83,-1
20220308,2,0,2,2,0,217,-1
20220310,4,1,1,2,4,0,-1
20220313,1,1,1,0,2,4,8
20220315,3,1,2,2,4,15,-1
20220317,1,1,1,1,1,34,-1
20220320,1,1,1,1,0,3,8
20220322,1,2,1,1,0,1,8
20220324,1,2,1,2,1,12,1
20220327,2,2,2,1,1,46,5
20220329,0,0,0,1,1,57,4
20220331,0,1,2,2,2,13,-1
20220403,1,1,1,0,1,5,8
20220405,0,1,0,0,0,27,-1
20220407,2,1,0,1,3,45,-1
20220410,1,1,1,0,1,3,8
20220412,0,1,0,0,1,6,4
20220414,2,1,0,2,1,26,6
20220417,1,0,1,0,1,21,2
20220419,2,0,2,1,2,8,-1
20220421,1,1,3,1,2,91,-1
20220424,1,1,1,2,2,13,1
20220426,0,0,0,1,0,9,-1
20220428,1,2,1,2,1,2,1
20220501,0,2,1,1,0,37,7
20220503,2,3,2,3,2,78,-1
20220505,1,1,1,1,1,21,-1
20220508,0,1,0,1,0,11,4
20220510,1,1,1,1,2,33,3
20220512,1,2,1,1,0,14,8
20220515,2,0,0,1,0,48,-1
20220517,2,2,2,1,1,22,5
20220519,1,1,2,3,2,39,9
20220522,0,2,1,1,1,4,8
20220524,0,1,1,2,1,1,8
20220526,4,1,2,2,3,31,-1
20220529,0,1,3,1,0,100,-1
20220531,2,1,1,2,1,14,1
20220602,2,1,2,2,2,53,-1
20220605,1,2,1,2,1,2,1
20220607,2,0,0,2,0,106,-1
20220609,2,1,1,1,1,13,3
20220612,0,0,2,1,0,12,-1
20220614,1,1,0,1,1,9,8
20220616,2,1,2,4,1,44,-1
20220619,3,0,1,1,0,9,-1
20220621,3,3,1,1,2,56,-1
20220623,2,3,3,2,2,22,-1
20220626,2,4,3,3,1,170,-1
20220628,1,1,1,2,0,6,8
20220630,1,2,1,1,1,9,3
20220703,2,1,4,3,2,16,-1
20220705,1,0,2,1,1,3,8
20220707,2,1,1,2,1,14,1
20220710,2,2,2,1,2,16,-1
20220712,1,1,1,2,0,3,8
20220714,1,2,1,1,1,6,3
20220717,2,1,3,2,1,25,9
20220719,2,3,1,3,1,12,-1
20220721,3,1,1,1,1,33,-1
20220724,1,4,2,2,2,6,-1
20220726,1,0,1,0,0,34,4
20220728,2,1,1,2,1,9,1
20220731,4,2,2,2,3,16,-1
20220802,1,3,2,1,1,44,-1
20220804,1,0,2,2,1,48,6
20220807,2,1,1,2,1,4,1
20220809,1,2,2,1,2,36,5
20220811,0,1,1,2,2,3,6
20220814,1,0,0,1,1,51,2
20220816,1,1,0,0,1,1,2
20220818,2,1,0,1,2,3,6
20220821,3,2,1,3,1,14,-1
20220823,1,3,0,2,2,54,-1
20220825,2,1,1,1,2,8,1
20220828,1,1,1,1,1,16,-1
20220830,1,0,1,0,1,6,2
20220901,0,1,1,1,2,22,8
20220904,3,2,3,2,2,15,-1
20220906,1,1,1,2,1,23,3
20220908,1,1,2,2,1,6,1
20220911,1,0,1,0,1,5,2
20220913,0,0,1,0,0,60,-1
20220915,0,2,2,2,1,10,-1
20220918,2,1,1,2,1,4,1
20220920,2,1,1,1,1,6,3
20220922,1,2,1,0,1,9,8
20220925,1,1,2,1,1,2,3
20220927,0,1,0,1,1,7,2
20220929,3,3,3,2,2,200,-1
20221006,2,1,3,3,3,42,-1
20221009,3,3,1,0,0,0,-1
20221011,2,2,0,1,2,9,-1
20221013,2,0,2,2,3,229,-1
20221016,0,1,3,3,2,145,-1
20221018,1,3,1,1,1,20,-1
20221020,5,4,4,3,2,553,-1
20221023,1,0,1,0,0,36,4
20221025,1,2,2,2,2,38,-1
20221027,0,0,0,2,1,57,-1
20221030,1,0,2,0,3,121,-1
20221101,1,2,0,1,2,30,6
20221103,1,1,0,0,1,14,2
20221106,1,3,3,2,2,52,-1
20221108,4,2,2,2,0,11,-1
20221110,3,3,3,1,1,160,-1
20221113,1,2,2,0,1,5,6
20221115,3,1,2,3,4,17,-1
20221117,0,0,0,1,0,26,-1
20221120,2,1,2,0,2,17,-1
20221122,2,2,0,1,1,4,6
20221124,1,3,3,1,2,39,-1
20221127,1,4,3,2,2,9,-1
20221129,1,2,1,0,0,89,7
20221201,3,2,0,2,2,10,-1
20221204,0,2,2,2,1,6,-1
20221206,1,1,0,1,1,30,8
20221208,0,2,1,0,0,18,-1
20221211,1,1,2,1,1,31,3
20221213,2,0,1,1,1,3,8
20221215,0,1,0,0,0,12,-1
20221218,0,0,1,1,0,24,4
20221220,1,1,1,0,1,3,8
20221222,2,3,2,0,3,182,-1
20221225,1,0,0,1,3,79,-1
20221227,0,0,0,0,1,5,-1
20221229,1,0,2,0,0,9,-1
20230101,1,1,1,2,1,9,3
20230103,1,0,1,3,1,212,-1
20230105,2,2,2,0,1,14,-1
20230108,1,2,0,0,1,17,7
20230110,1,2,1,0,2,21,6
20230112,2,2,1,1,3,75,9
20230115,2,2,1,1,0,2,6
20230117,1,0,0,0,1,13,4
20230129,2,2,2,1,3,37,-1
20230131,2,0,3,1,1,122,-1
20230202,2,1,0,0,1,7,7
20230205,2,2,1,1,1,54,1
20230207,3,1,2,0,3,45,-1
20230209,1,0,2,0,0,14,-1
20230212,1,1,1,1,2,14,3
20230214,2,2,1,2,3,7,-1
20230216,0,1,1,1,0,41,2
20230219,1,1,1,2,1,3,3
20230221,0,0,0,0,0,20,-1
20230223,1,3,0,0,0,6,-1
20230226,2,2,2,1,1,80,5
20230228,0,3,2,2,0,147,-1
20230302,2,3,2,2,1,7,-1
20230305,1,1,1,2,0,28,8
20230307,1,2,2,1,1,13,1
20230309,0,0,0,0,0,7,-1
20230312,1,1,0,1,0,10,2
20230314,1,1,1,0,1,4,8
20230316,2,3,0,1,2,26,-1
20230319,1,1,0,2,1,2,8
20230321,2,2,0,1,2,2,-1
20230323,2,1,0,3,1,22,-1
20230326,2,2,2,0,2,45,-1
20230328,3,3,1,1,1,233,-1
20230330,2,2,2,1,2,12,-1
20230402,0,2,1,1,3,4,-1
20230404,1,1,1,1,1,68,-1
20230406,2,3,3,1,1,53,-1
20230409,2,1,3,2,2,4,-1
20230411,2,1,2,1,1,15,1
20230413,0,2,1,1,0,30,7
20230416,1,0,2,0,0,22,-1
20230418,1,2,1,1,0,13,8
20230420,1,1,0,3,1,42,-1
20230423,0,0,0,0,0,19,-1
20230425,0,0,1,0,1,38,4
20230427,2,2,2,0,2,14,-1
20230430,1,0,1,0,0,2,4
20230502,2,1,2,4,2,10,-1
20230504,2,2,2,1,2,1,-1
20230507,0,0,0,0,0,6,-1
20230509,3,2,3,4,3,366,-1
20230511,1,1,1,2,1,35,3
20230514,3,3,1,2,2,68,-1
20230516,1,2,1,2,2,34,5
20230518,2,3,2,3,0,59,-1
20230521,1,1,1,2,3,119,-1
20230523,1,0,1,1,0,31,2
20230525,3,1,2,2,1,53,9
20230528,1,0,2,0,2,86,-1
20230530,2,1,3,1,2,2,9
20230601,3,1,0,1,1,18,-1
20230604,1,2,1,2,1,23,1
20230606,1,1,2,0,1,21,8
20230608,2,0,0,1,1,24,7
20230611,0,1,1,0,0,18,4
20230613,0,2,0,2,1,7,-1
20230615,2,0,3,1,1,32,-1
20230618,1,2,1,1,1,16,3
20230620,1,2,1,3,2,9,9
20230622,2,1,2,1,3,1,9
20230625,3,1,0,0,2,5,-1
20230627,0,0,1,3,2,1,-1
20230629,1,0,1,1,0,16,2
20230702,2,2,1,4,2,25,-1
20230704,3,3,4,3,4,0,-1
20230706,2,2,1,1,2,22,5
20230709,2,0,0,0,0,27,-1
20230711,2,2,3,3,2,127,-1
20230713,1,1,2,0,1,16,8
20230716,1,1,1,0,2,1,8
20230718,1,2,3,2,3,28,-1
20230720,0,0,2,0,2,169,-1
20230723,1,0,1,2,1,3,8
20230725,1,0,1,0,2,20,7
20230727,1,2,1,1,1,17,3
20230730,1,1,3,1,0,25,-1
20230801,1,1,0,1,2,4,8
20230803,0,0,0,0,1,11,-1
20230806,2,1,1,1,1,4,3
20230808,0,1,0,1,0,25,4
20230810,1,1,1,1,2,2,3
20230813,0,0,0,0,0,4,-1
20230815,3,1,1,0,1,7,-1
20230817,2,1,2,3,2,20,-1
20230820,2,2,0,0,2,74,-1
20230822,2,3,2,3,2,18,-1
20230824,3,3,1,2,2,16,-1
20230827,3,3,1,1,1,65,-1
20230829,1,1,0,2,2,32,-1
20230831,1,2,0,1,2,1,-1
20230903,0,1,2,0,2,29,-1
20230905,2,3,2,2,1,8,-1
20230907,0,1,1,2,1,10,-1
20230910,1,1,0,1,0,107,-1
20230912,2,0,2,0,1,4,-1
20230914,1,1,1,1,1,70,-1
20230917,3,1,1,1,0,4,-1
20230919,2,0,1,1,0,4,-1
20230921,1,0,1,1,3,2,-1
20230924,1,2,1,0,1,1,-1
20230926,2,2,2,1,1,194,-1
20230928,2,0,1,0,1,4,-1
20231005,1,2,2,2,1,2,-1
20231008,0,0,1,0,0,22,-1
20231010,0,2,0,1,2,10,-1
20231012,2,0,1,1,0,4,-1
20231015,1,2,3,3,2,20,-1
20231017,3,1,1,1,1,12,-1
20231019,3,1,4,2,2,2,-1
20231022,0,2,0,1,0,79,-1
20231024,2,1,1,1,0,11,-1
20231026,0,1,0,1,0,2,-1
20231029,1,1,2,2,4,10,-1
20231031,2,1,0,1,0,8,-1
20231102,0,0,2,1,1,1,-1
20231105,1,2,1,2,2,3,-1
20231107,1,1,0,1,1,6,-1
20231109,2,1,0,1,1,1,-1
20231112,1,0,1,1,2,1,-1
20231114,0,1,3,2,0,15,-1
20231116,2,0,1,1,2,31,-1
20231119,2,2,3,2,2,267,-1
20231121,1,0,1,0,2,8,-1
20231123,1,1,1,1,1,16,-1
20231126,1,1,2,0,0,2,-1
20231128,3,2,2,2,2,4,-1
20231130,1,0,0,2,2,7,-1
20231203,1,0,0,2,1,3,-1
20231205,2,2,3,1,2,37,-1
20231207,1,1,1,0,3,11,-1
20231210,1,1,1,1,0,1,-1
20231212,2,1,2,1,3,16,-1
20231214,1,0,1,0,1,5,-1
20231217,1,2,1,2,2,2,-1
20231219,2,0,3,2,1,115,-1
20231221,1,2,0,1,1,5,-1
20231224,1,2,3,1,0,16,-1
20231226,2,2,1,2,1,4,-1
20231228,0,1,0,3,2,12,-1
20231231,1,0,0,0,0,36,-1
20240102,1,1,0,1,1,5,-1
20240104,1,2,3,2,3,33,-1
20240107,1,1,0,0,0,31,-1
20240109,2,1,3,1,1,98,-1
20240111,2,2,1,2,3,16,-1
20240114,1,1,1,0,0,13,-1
